species	split	tier	is_rc	rows
Athaliana	test	30720	False	420
Athaliana	test	30720	True	332
Athaliana	test	61440	False	216
Athaliana	test	61440	True	205
Athaliana	test	129024	False	108
Athaliana	test	129024	True	107
Athaliana	train	30720	False	2674
Athaliana	train	30720	True	1346
Athaliana	train	61440	False	1396
Athaliana	train	61440	True	975
Athaliana	train	129024	False	680
Athaliana	train	129024	True	564
Athaliana	valid	30720	False	476
Athaliana	valid	30720	True	276
Athaliana	valid	61440	False	252
Athaliana	valid	61440	True	202
Athaliana	valid	129024	False	128
Athaliana	valid	129024	True	113
Bdistachyon	test	30720	False	1134
Bdistachyon	test	30720	True	643
Bdistachyon	test	61440	False	626
Bdistachyon	test	61440	True	484
Bdistachyon	test	129024	False	326
Bdistachyon	test	129024	True	301
Bdistachyon	train	30720	False	6160
Bdistachyon	train	30720	True	2244
Bdistachyon	train	61440	False	3270
Bdistachyon	train	61440	True	1934
Bdistachyon	train	129024	False	1576
Bdistachyon	train	129024	True	1285
Bdistachyon	valid	30720	False	691
Bdistachyon	valid	30720	True	318
Bdistachyon	valid	61440	False	370
Bdistachyon	valid	61440	True	251
Bdistachyon	valid	129024	False	185
Bdistachyon	valid	129024	True	169
Gmax	test	30720	False	3106
Gmax	test	30720	True	1390
Gmax	test	61440	False	1916
Gmax	test	61440	True	1159
Gmax	test	129024	False	1090
Gmax	test	129024	True	790
Gmax	train	30720	False	14721
Gmax	train	30720	True	4114
Gmax	train	61440	False	8811
Gmax	train	61440	True	3753
Gmax	train	129024	False	4799
Gmax	train	129024	True	2756
Gmax	valid	30720	False	1706
Gmax	valid	30720	True	596
Gmax	valid	61440	False	1027
Gmax	valid	61440	True	532
Gmax	valid	129024	False	596
Gmax	valid	129024	True	385
Osativa	test	30720	False	1868
Osativa	test	30720	True	734
Osativa	test	61440	False	991
Osativa	test	61440	True	596
Osativa	test	129024	False	503
Osativa	test	129024	True	403
Osativa	train	30720	False	8578
Osativa	train	30720	True	1964
Osativa	train	61440	False	4476
Osativa	train	61440	True	1801
Osativa	train	129024	False	2113
Osativa	train	129024	True	1351
Osativa	valid	30720	False	1054
Osativa	valid	30720	True	302
Osativa	valid	61440	False	569
Osativa	valid	61440	True	269
Osativa	valid	129024	False	284
Osativa	valid	129024	True	201
Ppatens	test	30720	False	1634
Ppatens	test	30720	True	1391
Ppatens	test	61440	False	1058
Ppatens	test	61440	True	991
Ppatens	test	129024	False	588
Ppatens	test	129024	True	571
Ppatens	train	30720	False	8565
Ppatens	train	30720	True	5875
Ppatens	train	61440	False	5195
Ppatens	train	61440	True	4296
Ppatens	train	129024	False	2665
Ppatens	train	129024	True	2534
Ppatens	valid	30720	False	1016
Ppatens	valid	30720	True	783
Ppatens	valid	61440	False	636
Ppatens	valid	61440	True	552
Ppatens	valid	129024	False	345
Ppatens	valid	129024	True	334
Ptrichocarpa	test	30720	False	1639
Ptrichocarpa	test	30720	True	864
Ptrichocarpa	test	61440	False	919
Ptrichocarpa	test	61440	True	677
Ptrichocarpa	test	129024	False	469
Ptrichocarpa	test	129024	True	426
Ptrichocarpa	train	30720	False	8380
Ptrichocarpa	train	30720	True	2677
Ptrichocarpa	train	61440	False	4536
Ptrichocarpa	train	61440	True	2336
Ptrichocarpa	train	129024	False	2186
Ptrichocarpa	train	129024	True	1637
Ptrichocarpa	valid	30720	False	1194
Ptrichocarpa	valid	30720	True	473
Ptrichocarpa	valid	61440	False	651
Ptrichocarpa	valid	61440	True	406
Ptrichocarpa	valid	129024	False	329
Ptrichocarpa	valid	129024	True	279
Sbicolor	test	30720	False	2031
Sbicolor	test	30720	True	694
Sbicolor	test	61440	False	1221
Sbicolor	test	61440	True	591
Sbicolor	test	129024	False	726
Sbicolor	test	129024	True	453
Sbicolor	train	30720	False	9083
Sbicolor	train	30720	True	1999
Sbicolor	train	61440	False	5364
Sbicolor	train	61440	True	1897
Sbicolor	train	129024	False	2931
Sbicolor	train	129024	True	1456
Sbicolor	valid	30720	False	1014
Sbicolor	valid	30720	True	276
Sbicolor	valid	61440	False	632
Sbicolor	valid	61440	True	260
Sbicolor	valid	129024	False	379
Sbicolor	valid	129024	True	216
Sitalica	test	30720	False	2035
Sitalica	test	30720	True	678
Sitalica	test	61440	False	1180
Sitalica	test	61440	True	605
Sitalica	test	129024	False	627
Sitalica	test	129024	True	449
Sitalica	train	30720	False	7527
Sitalica	train	30720	True	1499
Sitalica	train	61440	False	4255
Sitalica	train	61440	True	1481
Sitalica	train	129024	False	2136
Sitalica	train	129024	True	1180
Sitalica	valid	30720	False	945
Sitalica	valid	30720	True	240
Sitalica	valid	61440	False	541
Sitalica	valid	61440	True	223
Sitalica	valid	129024	False	290
Sitalica	valid	129024	True	184
Vvinifera	test	30720	False	2420
Vvinifera	test	30720	True	734
Vvinifera	test	61440	False	1345
Vvinifera	test	61440	True	670
Vvinifera	test	129024	False	685
Vvinifera	test	129024	True	524
Vvinifera	train	30720	False	10313
Vvinifera	train	30720	True	1843
Vvinifera	train	61440	False	5663
Vvinifera	train	61440	True	1804
Vvinifera	train	129024	False	2708
Vvinifera	train	129024	True	1466
Vvinifera	valid	30720	False	1151
Vvinifera	valid	30720	True	254
Vvinifera	valid	61440	False	640
Vvinifera	valid	61440	True	250
Vvinifera	valid	129024	False	328
Vvinifera	valid	129024	True	204
